spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,Chappell Roan,32,1,18,IE,30/12/2024,85,FALSE,258034,The Rise and Fall of a Midwest Princess,22/09/2023,0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,33,-3,17,IE,30/12/2024,87,FALSE,172533,Stargazing,10/05/2024,0.635,0.601,1,-6.129,0,0.0295,0.246,0,0.11,0.332,123.994,4
2FRnf9qhLbvw8fu4IBXx78,Last Christmas,Wham!,34,-15,-33,IE,30/12/2024,96,FALSE,262960,LAST CHRISTMAS,29/11/1984,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48E-06,0.355,0.947,107.682,4
2uXlHCUbq9OMUwx3hrk06o,Riptide,Vance Joy,35,4,15,IE,30/12/2024,85,FALSE,204280,Dream Your Life Away (Deluxe Edition),05/08/2014,0.483,0.731,1,-6.696,1,0.0381,0.436,0,0.151,0.484,101.654,4
2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,Brenda Lee,36,-15,-34,IE,30/12/2024,97,FALSE,126266,Merry Christmas From Brenda Lee,19/10/1964,0.598,0.47,8,-8.744,1,0.0496,0.617,0,0.505,0.879,67.086,4
0rtDE9zfXbamTlRUSwY7zy,Belong Together,Mark Ambor,37,4,13,IE,30/12/2024,81,FALSE,148317,Rockwood,16/08/2024,0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.97,4
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,38,2,12,IE,30/12/2024,93,FALSE,261466,HIT ME HARD AND SOFT,17/05/2024,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
5iJKGpnFfvbjZJeAtwXfCj,28,Zach Bryan,39,4,11,IE,30/12/2024,79,FALSE,233333,The Great American Bar Scene,04/07/2024,0.492,0.519,7,-6.886,1,0.0288,0.227,8.47E-05,0.0693,0.435,80.868,3
4nHJcUtNSUVjXRnjdP29Bk,You’re Gonna Go Far,Noah Kahan,40,10,10,IE,30/12/2024,80,TRUE,286369,Stick Season (We'll All Be Here Forever),09/06/2023,0.586,0.358,7,-9.761,1,0.0308,0.556,0,0.11,0.365,169.925,4
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,41,5,9,IE,30/12/2024,87,FALSE,253920,Synchronicity (Remastered 2003),17/06/1983,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
